<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
USD000000TOD 60 20200716 140000 71.2475000 71.2500000 71.1125000 71.1400000 40295000
USD000000TOD 60 20200716 150000 71.1300000 71.1600000 71.0500000 71.1300000 41555000
USD000000TOD 60 20200716 160000 71.1225000 71.2575000 71.1200000 71.1900000 51968000
USD000000TOD 60 20200716 170000 71.2000000 71.2550000 71.1200000 71.1400000 20044000
USD000000TOD 60 20200717 100000 71.6575000 71.7500000 71.5375000 71.7500000 244960000
USD000000TOD 60 20200717 110000 71.7625000 71.8725000 71.7625000 71.8400000 106795000
USD000000TOD 60 20200717 120000 71.8475000 71.8975000 71.7500000 71.7850000 71055000
USD000000TOD 60 20200717 130000 71.7900000 71.8275000 71.6650000 71.6975000 33907000
USD000000TOD 60 20200717 140000 71.7050000 71.7700000 71.6725000 71.6775000 31822000
USD000000TOD 60 20200717 150000 71.6675000 71.7300000 71.5925000 71.6600000 42717000
USD000000TOD 60 20200717 160000 71.6650000 71.7800000 71.6275000 71.7525000 62829000
USD000000TOD 60 20200717 170000 71.7425000 71.9300000 71.7375000 71.8450000 23111000
USD000000TOD 60 20200720 100000 71.8425000 72.1350000 71.7825000 71.9425000 119859000
USD000000TOD 60 20200720 110000 71.9425000 72.0025000 71.8550000 71.8975000 79372000
USD000000TOD 60 20200720 120000 71.8900000 71.9225000 71.7025000 71.7550000 89517000
USD000000TOD 60 20200720 130000 71.7500000 71.7925000 71.5275000 71.5675000 105736000
USD000000TOD 60 20200720 140000 71.5600000 71.5750000 71.3975000 71.5000000 71183000
USD000000TOD 60 20200720 150000 71.5000000 71.5875000 71.4350000 71.5475000 40545000
USD000000TOD 60 20200720 160000 71.5300000 71.5750000 71.3175000 71.5350000 40096000
USD000000TOD 60 20200720 170000 71.5575000 71.6050000 71.3700000 71.4775000 15181000
USD000000TOD 60 20200721 100000 71.1025000 71.1375000 70.8750000 70.9400000 221760000
USD000000TOD 60 20200721 110000 70.9400000 70.9750000 70.8325000 70.8700000 102523000
USD000000TOD 60 20200721 120000 70.8725000 70.9275000 70.8375000 70.8550000 88268000
USD000000TOD 60 20200721 130000 70.8500000 70.8575000 70.6625000 70.7225000 76608000
USD000000TOD 60 20200721 140000 70.7225000 70.7950000 70.6950000 70.7625000 54836000
USD000000TOD 60 20200721 150000 70.7650000 70.9325000 70.7375000 70.9325000 43981000
USD000000TOD 60 20200721 160000 70.9325000 70.9325000 70.7600000 70.7850000 36193000
USD000000TOD 60 20200721 170000 70.7625000 70.8450000 70.7250000 70.7875000 16708000
USD000000TOD 60 20200722 100000 70.7675000 70.9425000 70.5925000 70.8150000 233418000
USD000000TOD 60 20200722 110000 70.8175000 70.9350000 70.7525000 70.8925000 101977000
USD000000TOD 60 20200722 120000 70.9025000 70.9800000 70.8200000 70.8900000 81217000
USD000000TOD 60 20200722 130000 70.8875000 70.9500000 70.8250000 70.8850000 49683000
USD000000TOD 60 20200722 140000 70.8800000 70.8800000 70.7175000 70.7250000 40320000
USD000000TOD 60 20200722 150000 70.7175000 70.8850000 70.7050000 70.7950000 38072000
USD000000TOD 60 20200722 160000 70.7900000 70.8475000 70.7350000 70.7850000 38587000
USD000000TOD 60 20200722 170000 70.7825000 70.8875000 70.7625000 70.8875000 25117000
USD000000TOD 60 20200723 100000 70.9600000 71.1200000 70.8675000 70.9025000 210555000
USD000000TOD 60 20200723 110000 70.9000000 70.9625000 70.8150000 70.9525000 98302000
USD000000TOD 60 20200723 120000 70.9600000 71.1850000 70.9575000 71.1500000 71863000
USD000000TOD 60 20200723 130000 71.1550000 71.3850000 71.1300000 71.2375000 101533000
USD000000TOD 60 20200723 140000 71.2375000 71.3750000 71.1850000 71.3000000 44472000
USD000000TOD 60 20200723 150000 71.3050000 71.6125000 71.3025000 71.6125000 47825000
USD000000TOD 60 20200723 160000 71.6200000 71.6200000 71.3200000 71.4075000 36426000
USD000000TOD 60 20200723 170000 71.4075000 71.5700000 71.3000000 71.3600000 17113000
USD000000TOD 60 20200724 100000 71.5450000 71.7275000 71.4600000 71.5650000 181838000
USD000000TOD 60 20200724 110000 71.5500000 71.6100000 71.3725000 71.3725000 100300000
USD000000TOD 60 20200724 120000 71.3775000 71.4275000 71.3200000 71.4100000 77296000
USD000000TOD 60 20200724 130000 71.4050000 71.7325000 71.3825000 71.7000000 234536000
USD000000TOD 60 20200724 140000 71.7000000 71.9575000 71.6875000 71.9450000 307004000
USD000000TOD 60 20200724 150000 71.9400000 71.9825000 71.8125000 71.8550000 133906000
USD000000TOD 60 20200724 160000 71.8625000 71.9100000 71.6925000 71.8500000 115865000
USD000000TOD 60 20200724 170000 71.8500000 71.8800000 71.7050000 71.7675000 55042000
USD000000TOD 60 20200727 100000 71.5100000 71.9325000 71.4250000 71.6250000 137139000
USD000000TOD 60 20200727 110000 71.6150000 71.6700000 71.5200000 71.5300000 68667000
USD000000TOD 60 20200727 120000 71.5350000 71.5800000 71.4925000 71.5025000 49588000
USD000000TOD 60 20200727 130000 71.5100000 71.5150000 71.4225000 71.4500000 50650000
USD000000TOD 60 20200727 140000 71.4425000 71.5025000 71.4275000 71.4700000 41618000
USD000000TOD 60 20200727 150000 71.4700000 71.6475000 71.4500000 71.5950000 34408000
USD000000TOD 60 20200727 160000 71.6125000 71.9300000 71.6050000 71.7275000 59853000
USD000000TOD 60 20200727 170000 71.7425000 71.8175000 71.6500000 71.6500000 18763000
USD000000TOD 60 20200728 100000 71.7850000 72.0975000 71.6125000 71.9900000 188575000
USD000000TOD 60 20200728 110000 72.0000000 72.0300000 71.9175000 71.9350000 118022000
USD000000TOD 60 20200728 120000 71.9450000 72.1600000 71.9250000 72.1600000 82598000
USD000000TOD 60 20200728 130000 72.1600000 72.3250000 72.1325000 72.1625000 66744000
USD000000TOD 60 20200728 140000 72.1650000 72.4850000 72.1275000 72.4625000 108305000
USD000000TOD 60 20200728 150000 72.4600000 72.4975000 72.3700000 72.4550000 47538000
USD000000TOD 60 20200728 160000 72.4600000 72.6425000 72.4300000 72.5450000 80796000
USD000000TOD 60 20200728 170000 72.5575000 72.5800000 72.4600000 72.5800000 17029000
USD000000TOD 60 20200729 100000 72.5275000 72.5275000 72.0600000 72.1625000 157335000
USD000000TOD 60 20200729 110000 72.1475000 72.2150000 72.1225000 72.1800000 85047000
USD000000TOD 60 20200729 120000 72.1775000 72.4675000 72.1450000 72.4200000 99082000
USD000000TOD 60 20200729 130000 72.4125000 72.5475000 72.3800000 72.5075000 76912000
USD000000TOD 60 20200729 140000 72.5100000 72.5850000 72.3000000 72.4100000 103082000
USD000000TOD 60 20200729 150000 72.4225000 72.5275000 72.3800000 72.4775000 44440000
USD000000TOD 60 20200729 160000 72.4825000 72.4900000 72.3250000 72.4225000 27567000
USD000000TOD 60 20200729 170000 72.4225000 72.5200000 72.3375000 72.4950000 20546000
USD000000TOD 60 20200730 100000 73.1000000 73.5875000 73.0525000 73.3950000 237301000
USD000000TOD 60 20200730 110000 73.3925000 73.4650000 73.3100000 73.4100000 58422000
USD000000TOD 60 20200730 120000 73.4100000 73.5775000 73.3175000 73.4300000 133613000
USD000000TOD 60 20200730 130000 73.4300000 73.7000000 73.4300000 73.6800000 121109000
USD000000TOD 60 20200730 140000 73.6675000 73.6900000 73.5425000 73.5700000 50765000
USD000000TOD 60 20200730 150000 73.5625000 73.7800000 73.4325000 73.4325000 63416000
USD000000TOD 60 20200730 160000 73.4350000 73.5450000 73.3400000 73.5400000 48190000
USD000000TOD 60 20200730 170000 73.5500000 73.7150000 73.5075000 73.6850000 32408000
USD000000TOD 60 20200731 100000 73.3400000 73.5000000 73.2625000 73.4275000 193350000
USD000000TOD 60 20200731 110000 73.4250000 73.8525000 73.3825000 73.8450000 182484000
USD000000TOD 60 20200731 120000 73.8400000 74.0700000 73.8275000 73.8625000 137913000
USD000000TOD 60 20200731 130000 73.8750000 73.9750000 73.8325000 73.8675000 32489000
USD000000TOD 60 20200731 140000 73.8675000 74.0300000 73.8550000 73.9650000 61387000
USD000000TOD 60 20200731 150000 73.9800000 74.1500000 73.9000000 74.0350000 43893000
USD000000TOD 60 20200731 160000 74.0450000 74.1325000 73.9650000 74.0100000 27629000
USD000000TOD 60 20200731 170000 74.0225000 74.1775000 73.9675000 74.1200000 44482000
USD000000TOD 60 20200803 100000 74.4000000 74.6100000 73.9625000 74.0725000 151778000
USD000000TOD 60 20200803 110000 74.0625000 74.1675000 73.9400000 74.0025000 113112000
USD000000TOD 60 20200803 120000 74.0025000 74.0825000 73.9175000 73.9400000 86040000
USD000000TOD 60 20200803 130000 73.9475000 74.0200000 73.6700000 73.7350000 94437000
USD000000TOD 60 20200803 140000 73.7350000 73.7875000 73.6525000 73.7725000 50545000
USD000000TOD 60 20200803 150000 73.7725000 74.1025000 73.7600000 74.0475000 51059000
USD000000TOD 60 20200803 160000 74.0500000 74.1075000 73.8550000 73.8750000 50822000
USD000000TOD 60 20200803 170000 73.8600000 73.8600000 73.4750000 73.5700000 46981000
USD000000TOD 60 20200804 100000 73.0675000 73.5800000 72.9200000 73.5575000 171505000
USD000000TOD 60 20200804 110000 73.5575000 73.6875000 73.4800000 73.5375000 78236000
USD000000TOD 60 20200804 120000 73.5425000 73.7475000 73.5375000 73.7400000 61066000
USD000000TOD 60 20200804 130000 73.7475000 74.0250000 73.7400000 73.8200000 87540000
USD000000TOD 60 20200804 140000 73.8275000 73.8625000 73.6600000 73.7575000 52312000
USD000000TOD 60 20200804 150000 73.7700000 73.9700000 73.6800000 73.9025000 25288000
USD000000TOD 60 20200804 160000 73.9025000 73.9550000 73.6075000 73.6600000 34828000
USD000000TOD 60 20200804 170000 73.6550000 73.6800000 73.5400000 73.5775000 15482000
USD000000TOD 60 20200805 100000 73.2025000 73.4825000 73.1250000 73.1600000 243241000
USD000000TOD 60 20200805 110000 73.1650000 73.3550000 73.0700000 73.0750000 73360000
USD000000TOD 60 20200805 120000 73.0750000 73.1500000 72.7750000 72.9625000 124239000
USD000000TOD 60 20200805 130000 72.9725000 73.1525000 72.9250000 73.0800000 75725000
USD000000TOD 60 20200805 140000 73.0675000 73.0950000 72.8000000 72.8025000 43004000
USD000000TOD 60 20200805 150000 72.8050000 73.0450000 72.8000000 72.9400000 49649000
USD000000TOD 60 20200805 160000 72.9250000 73.0400000 72.7100000 72.7350000 48063000
USD000000TOD 60 20200805 170000 72.7200000 72.9450000 72.7100000 72.9200000 11836000
USD000000TOD 60 20200806 100000 72.9200000 73.2800000 72.6650000 73.2750000 172726000
USD000000TOD 60 20200806 110000 73.2825000 73.3575000 73.1725000 73.3150000 97961000
USD000000TOD 60 20200806 120000 73.3150000 73.5100000 73.2850000 73.3150000 75561000
USD000000TOD 60 20200806 130000 73.3200000 73.5025000 73.2200000 73.4600000 54754000
USD000000TOD 60 20200806 140000 73.4725000 73.6075000 73.3475000 73.3750000 45050000
USD000000TOD 60 20200806 150000 73.3600000 73.4525000 73.2050000 73.3400000 44289000
USD000000TOD 60 20200806 160000 73.3400000 73.4325000 73.2650000 73.2975000 19550000
USD000000TOD 60 20200806 170000 73.2925000 73.5200000 73.2800000 73.5200000 13372000
USD000000TOD 60 20200807 100000 73.6100000 73.7475000 73.4900000 73.4900000 161584000
USD000000TOD 60 20200807 110000 73.4900000 73.6625000 73.4900000 73.5950000 117646000
USD000000TOD 60 20200807 120000 73.5950000 73.7900000 73.5900000 73.6650000 67841000
USD000000TOD 60 20200807 130000 73.6650000 73.6800000 73.4425000 73.5025000 78367000
USD000000TOD 60 20200807 140000 73.5025000 73.5725000 73.3950000 73.5525000 40636000
USD000000TOD 60 20200807 150000 73.5525000 73.6300000 73.3000000 73.4400000 84046000
USD000000TOD 60 20200807 160000 73.4400000 73.7850000 73.4325000 73.7075000 30008000
USD000000TOD 60 20200807 170000 73.7100000 73.9050000 73.6325000 73.6325000 17938000
USD000000TOD 60 20200810 100000 73.8000000 73.9975000 73.7050000 73.7125000 148910000
USD000000TOD 60 20200810 110000 73.7050000 73.7500000 73.5950000 73.6125000 76904000
USD000000TOD 60 20200810 120000 73.6025000 73.7150000 73.4950000 73.6525000 48654000
USD000000TOD 60 20200810 130000 73.6525000 73.7200000 73.5875000 73.6950000 51826000
USD000000TOD 60 20200810 140000 73.7025000 73.7775000 73.6950000 73.7500000 30335000
USD000000TOD 60 20200810 150000 73.7500000 73.7600000 73.6200000 73.6800000 25693000
USD000000TOD 60 20200810 160000 73.6725000 73.6725000 73.3400000 73.4625000 35844000
USD000000TOD 60 20200810 170000 73.4625000 73.5575000 73.4050000 73.4725000 19508000
USD000000TOD 60 20200811 100000 73.5000000 73.5650000 73.0675000 73.1150000 118322000
USD000000TOD 60 20200811 110000 73.1150000 73.1375000 72.8500000 72.8650000 104793000
USD000000TOD 60 20200811 120000 72.8800000 72.9475000 72.7500000 72.8550000 89299000
USD000000TOD 60 20200811 130000 72.8525000 72.8800000 72.7450000 72.8475000 48582000
USD000000TOD 60 20200811 140000 72.8475000 72.9425000 72.7200000 72.8400000 54079000
USD000000TOD 60 20200811 150000 72.8375000 72.8975000 72.6875000 72.8900000 34883000
USD000000TOD 60 20200811 160000 72.8700000 73.0775000 72.8300000 73.0750000 37064000
USD000000TOD 60 20200811 170000 73.0625000 73.1825000 73.0000000 73.0100000 15538000
USD000000TOD 60 20200812 100000 73.2050000 73.3275000 73.1000000 73.1625000 134094000
USD000000TOD 60 20200812 110000 73.1575000 73.3250000 73.1450000 73.2625000 64691000
USD000000TOD 60 20200812 120000 73.2675000 73.2875000 73.0450000 73.0675000 52060000
USD000000TOD 60 20200812 130000 73.0550000 73.1700000 73.0000000 73.1250000 38529000
USD000000TOD 60 20200812 140000 73.1375000 73.3200000 73.1350000 73.2325000 40261000
USD000000TOD 60 20200812 150000 73.2275000 73.3950000 73.1950000 73.2650000 115239000
USD000000TOD 60 20200812 160000 73.2525000 73.8200000 73.2000000 73.7325000 81716000
USD000000TOD 60 20200812 170000 73.7275000 73.7625000 73.5625000 73.6500000 24507000
USD000000TOD 60 20200813 100000 73.4500000 73.7700000 73.4125000 73.7050000 145002000
USD000000TOD 60 20200813 110000 73.7150000 73.7250000 73.4925000 73.5075000 93081000
USD000000TOD 60 20200813 120000 73.5025000 73.5300000 73.3900000 73.4575000 64178000
USD000000TOD 60 20200813 130000 73.4625000 73.5100000 73.3100000 73.4050000 48514000
USD000000TOD 60 20200813 140000 73.4000000 73.6250000 73.3375000 73.6150000 50186000
USD000000TOD 60 20200813 150000 73.6400000 73.7350000 73.5300000 73.5925000 37584000
USD000000TOD 60 20200813 160000 73.5900000 73.6750000 73.3925000 73.4100000 28584000
USD000000TOD 60 20200813 170000 73.4100000 73.4300000 73.0725000 73.2125000 21645000
USD000000TOD 60 20200814 100000 72.9000000 73.3175000 72.9000000 73.2525000 191286000
USD000000TOD 60 20200814 110000 73.2625000 73.4250000 73.2100000 73.3800000 81357000
USD000000TOD 60 20200814 120000 73.3850000 73.4625000 73.2525000 73.3550000 76929000
USD000000TOD 60 20200814 130000 73.3600000 73.4550000 73.3250000 73.3775000 41910000
USD000000TOD 60 20200814 140000 73.3750000 73.4300000 73.2450000 73.2650000 50806000
USD000000TOD 60 20200814 150000 73.2600000 73.2875000 73.1350000 73.2000000 47348000
USD000000TOD 60 20200814 160000 73.1950000 73.2050000 72.9550000 72.9800000 44336000
USD000000TOD 60 20200814 170000 72.9750000 73.0650000 72.8800000 72.8900000 19931000
USD000000TOD 60 20200817 100000 72.9900000 73.0575000 72.7675000 72.9425000 160478000
USD000000TOD 60 20200817 110000 72.9300000 73.2800000 72.9275000 73.2550000 140621000
USD000000TOD 60 20200817 120000 73.2550000 73.3925000 73.1875000 73.3775000 89271000
USD000000TOD 60 20200817 130000 73.3650000 73.6425000 73.3600000 73.6200000 95927000
USD000000TOD 60 20200817 140000 73.6300000 73.7975000 73.5450000 73.5625000 111186000
USD000000TOD 60 20200817 150000 73.5625000 73.6600000 73.4950000 73.6225000 47726000
USD000000TOD 60 20200817 160000 73.6300000 73.6300000 73.2500000 73.3975000 53839000
USD000000TOD 60 20200817 170000 73.3775000 73.6225000 73.3200000 73.6225000 17512000
USD000000TOD 60 20200818 100000 73.5600000 73.7000000 73.3400000 73.3850000 145238000
USD000000TOD 60 20200818 110000 73.3950000 73.4075000 73.0725000 73.1600000 105093000
USD000000TOD 60 20200818 120000 73.1500000 73.1950000 73.0525000 73.1475000 74374000
USD000000TOD 60 20200818 130000 73.1500000 73.1525000 72.9400000 72.9675000 92529000
USD000000TOD 60 20200818 140000 72.9675000 73.2550000 72.9325000 73.2150000 76679000
USD000000TOD 60 20200818 150000 73.2150000 73.2225000 72.9425000 73.1375000 43576000
USD000000TOD 60 20200818 160000 73.1300000 73.2250000 72.9750000 73.0600000 48545000
USD000000TOD 60 20200818 170000 73.0550000 73.2975000 73.0450000 73.2125000 21025000
USD000000TOD 60 20200819 100000 73.1600000 73.3450000 73.0925000 73.1875000 138496000
USD000000TOD 60 20200819 110000 73.1850000 73.3400000 73.1700000 73.3100000 63298000
USD000000TOD 60 20200819 120000 73.2975000 73.3625000 73.2175000 73.3625000 54210000
USD000000TOD 60 20200819 130000 73.3500000 73.5875000 73.3475000 73.3925000 90518000
USD000000TOD 60 20200819 140000 73.3875000 73.5200000 73.3675000 73.3925000 37457000
USD000000TOD 60 20200819 150000 73.3925000 73.4650000 73.3400000 73.3550000 25022000
USD000000TOD 60 20200819 160000 73.3675000 73.4050000 73.1350000 73.2100000 46955000
USD000000TOD 60 20200819 170000 73.1975000 73.2150000 73.0375000 73.1500000 51528000
USD000000TOD 60 20200820 100000 73.3900000 73.9500000 73.3150000 73.8000000 255655000
USD000000TOD 60 20200820 110000 73.7850000 74.0450000 73.7800000 73.9075000 179643000
USD000000TOD 60 20200820 120000 73.9000000 74.0175000 73.8275000 73.9100000 129105000
USD000000TOD 60 20200820 130000 73.9100000 73.9750000 73.6950000 73.7625000 67417000
USD000000TOD 60 20200820 140000 73.7675000 73.9000000 73.7675000 73.8800000 63417000
USD000000TOD 60 20200820 150000 73.8750000 73.9800000 73.7925000 73.8925000 65560000
USD000000TOD 60 20200820 160000 73.8925000 73.9875000 73.8550000 73.9225000 33874000
USD000000TOD 60 20200820 170000 73.9250000 74.0500000 73.9075000 74.0450000 48401000
USD000000TOD 60 20200821 100000 73.7900000 74.1675000 73.6425000 74.0550000 190076000
USD000000TOD 60 20200821 110000 74.0675000 74.3825000 74.0675000 74.2375000 155396000
USD000000TOD 60 20200821 120000 74.2375000 74.3100000 74.2000000 74.2700000 87957000
USD000000TOD 60 20200821 130000 74.2800000 74.5100000 74.2800000 74.4275000 135620000
USD000000TOD 60 20200821 140000 74.4425000 74.6075000 74.4000000 74.5800000 109634000
USD000000TOD 60 20200821 150000 74.5800000 74.7175000 74.4750000 74.7025000 66756000
USD000000TOD 60 20200821 160000 74.6975000 74.9900000 74.6925000 74.9175000 108898000
USD000000TOD 60 20200821 170000 74.9175000 74.9375000 74.6575000 74.7550000 23392000
USD000000TOD 60 20200824 100000 74.5250000 74.5800000 74.2650000 74.3650000 169015000
USD000000TOD 60 20200824 110000 74.3500000 74.5400000 74.2600000 74.2950000 136162000
USD000000TOD 60 20200824 120000 74.2900000 74.3100000 74.1575000 74.2300000 129597000
USD000000TOD 60 20200824 130000 74.2175000 74.3000000 74.1550000 74.2600000 47976000
